Earth,3,1,61,solid
Jupiter,5,63,-234,gas
Mars,4,2,-67,solid
Mercury,1,0,332,solid
Neptune,8,13,-353,gas
Saturn,6,82,-288,gas
Uranus,7,27,-357,gas
Venus,2,0,847,solid
